大细辛 　　马蹄细辛 苕叶细辛
山岗稔 　　 哆尼 岗菍 山菍 多莲 当梨根 稔子树 豆稔 仲尼 乌肚子 桃舅娘 当泥
山岗稔 　　 金丝桃 山稔子 山菍 多莲 豆稔干 稔果 多奶 山多奶 苏园子 石榴子 白碾子 岗稔 水刀莲 乌肚子 当梨子 哆哞仔 稔子
毛女贞 　　细木南 西嚼
毛女贞 　　 山万年青 蚊子木 岩白蜡 蜡树 细木南 回嚼 苦丁茶 苦味散 冬青细木南 西嚼
香蓼 　　 辣蓼 辣柳
小豆散 　　 小豆散
角叉菜 　　 鹿角菜 龙须菜
广玉兰 　　 洋玉兰 荷花玉兰
波叶紫金牛 　　小凉伞 千年不出山 矮脚凉伞 小部伞 不出林 小矮地茶 小狮子头 铁罗伞
白千层皮 　　千层皮
红背马蓝 　　 红背耳叶马蓝属
柑皮 　　 广陈皮 新会皮 陈柑皮
牛筋刺寄生 　　 梨寄生 藏寄生 野花椒寄生 老米酒寄生
苏心汤 　　 苏心汤
山黄菊 　　旋伏花 金菊花
红椿 　　红楝子 赤昨工 埋用 赤蛇公 南亚红椿 香铃子
剪红纱花 　　 汉宫秋 散血沙 阔叶鲤鱼胆
鸡冠参 　　露水草 鸡心贝母 假苍山贝 钗蛋贝
野棕 　　山棕 棕榈科 生于山坡林下或竹林边
薄叶卷柏 　　 山柏枝 山扁柏 地柏 岩卷柏 地柏桠 石上柏 四叶柏 独立金鸡
开迷散 　　 开迷散
中华赛爵床 　　杜根藤
不醉丹 　　 不醉丹
红紫苏 　　 桂荏 白苏 赤苏
小叶枇杷 　　白香柴
蝇子草 　　 白花蝇子草 西欧蝇子草
火郁汤 　　 火郁汤
小发散 　　簇花清风藤
小下汤 　　 小下汤
幼油草 　　高墩草 日本花点草 小九龙盘
土一枝蒿 　　野一枝蒿 白花一枝蒿 蜈蚣草
鼠肾 　　 鼠印
猫眼草 　　 乳浆大戟 细叶猫眼草 烂疤眼 乳浆草
藨寄生 　　 石腊竹
牛蒡子散 　　牛蒡子汤 牛蒡散
醉鱼草 　　 闭鱼花 痒见消 鱼尾草 樚木 五霸蔷 阳包树 雉尾花 鱼鳞子 药杆子 防痛树 鲤鱼花草 药鱼子 铁帚尾 红鱼皂 楼梅草 鱼泡草 毒鱼草 钱线尾
白术饮 　　白术散
小通草 　　小通花
醉鱼草 　　 闭鱼花 痒见消 鱼尾草 樚木 五霸蔷 阳包树 雉尾花 鱼鳞子 药杆子 防痛树 鲤鱼花草 药鱼子 铁帚尾 红鱼皂 楼梅草 鱼泡草 毒鱼草 钱线尾
太阳海星 　　 太阳鱼
小白撑 　　 黄蜡一支篙 雪上一支篙 泡叶乌头
朝鲜崖柏 　　长白侧柏 朝鲜柏
鹿衔草 　　 鹿含草 鹿衔草 破血丹
鹿衔草 　　 鹿含草 鹿衔草 破血丹 小秦王草 破血丹 纸背金牛草 大肺筋草 红肺筋草 鹿寿茶 鹿安茶 鹿含草 薇衔
鼠曲草 　　 菠菠草 佛耳草 软雀草 软芡
女金芦 　　 扇把草 石蚕 石角 凤尾金星 小骨碎补 地蜈蚣
理石 　　肌石 立制石
水虾子草 　　鸭脷草 定经草
开结枳实丸 　　木香利膈丸 开结枳术丸
豹骨 　　 川四腿 金钱豹骨
加减调中汤 　　
团花 　　 黄梁木
驱风通 　　大叶臭椒 有刺盐肤木 刺椿木 天星木
蘘荷 　　嘉草 猼月 蒚蒩 芋渠 覆葅 阳藿 阳荷 山姜 观音花 野老姜 土里开花 野生姜 野姜 莲花姜
大效双丸 　　 大效双丸
文蛤肉 　　海蛤肉 蛤蜊肉
蜡梅花 　　 金梅 腊梅 蜡花 黄梅花
甜石榴 　　天浆 甘石榴
金边龙舌兰 　　 金边莲 龙舌兰 金边假菠萝
一把伞 　　 白升麻 一把伞(云南  筛子花 岩谷伞 回心草
鲈鱼 　　 花鲈 鲈板 花寨 鲈子鱼
压惊茯神散 　　 周升麻 周麻 鸡骨升麻 鬼脸升麻
全蝎生皮散 　　全蝎散
八物茜根汤 　　茜根散 茜根饮 茜根汤
八风续命汤 　　人参汤 参桂汤
滇瑞香 　　 岩陀 构皮 构皮岩陀 梦花皮 黄山皮桃 万年青矮陀陀 鸡蛋花 桂花岩陀 桂花矮陀陀 野瑞香 小瑞香
朱砂菌 　　 橘皮蕈 胭脂菰 胭脂栓菌
青木香汤 　　 青木香汤
田基黄 　　 地耳草 斑鸠窝 雀舌草 蛇查口 合掌草 跌水草 七寸金 一条香 金锁匙 红孩儿 寸金草 田边菊 痧子草 光明草 莽壳草 小王不留行 细叶黄 观音莲 降龙草 七层塔 土防风 小元宝草 黄花仔 禾霞气 耳挖草 小田基黄 小还魂 小蚁药 小对叶草 八金刚草 蛇细草 对叶草
十将丹 　　 十将丹
棠梨 　　鹿梨 棠梨 野梨 鸟梨
白背三七 　　大救驾 大肥牛 土生地 白仔菜药 散血姜
秋石 　　 秋丹石 秋冰 淡秋石
乌贼鱼腹中墨 　　 乌鱼 墨鱼  虎斑乌贼
必胜膏 　　葱蜜膏 葱蜜掩
樗叶 　　 樗木叶
十奇散 　　 十奇散
乌饭子 　　 染菽 乌饭树 米饭树 乌饭叶 捻子
坚中丹 　　坚中丸
三叶海棠 　　三爪金 地蜘蛛
白簕枝叶 　　 白茨叶 白勒远
萱草根 　　漏芦果 漏芦根果 地人参
茉莉花 　　 茉莉
狗尾草 　　狗尾草
升麻葛根汤 　　升麻散 升麻汤 四味升麻葛根汤 平血饮 解肌汤 葛根升麻汤 葛根汤 升麻饮 干葛汤 四味干葛汤
皂角化痰丸 　　 皂角化痰丸
芎归汤 　　 立效散
杜仲叶 　　丝棉树 丝棉皮 玉丝皮
绢毛菊 　　绢毛苣
一轮雪 　　 一轮雪
七星剑 　　 巢蕨 金桃叶 七叶星
黄河裸裂尻鱼 　　 小嘴湟鱼 小嘴巴鱼 鱼景鱼
石蝴蝶 　　猫舌草 活血丹 蟑螂头 红叶脚趾草 脚趾叶 大青 五里香 岩竹 岩脚趾 丁字草 丁拔 尖叶脚疔草
升麻 　　 龙眼根 周麻 窟窿牙根
丹平散 　　 通关散 霹雳散 雷击散
银柴胡 　　银胡 山菜根 山马踏菜根 牛肚根 沙参儿 白根子 土参 丝石竹 霞草 欧石头花
桂叶素馨 　　岭南茉莉
小串 　　 白头兵
白花菜子 　　臭菜 臭花菜 羊角菜
箭刀草 　　 箭刀草
枸骨子 　　 功劳子枸骨子 功劳子
积雪草 　　 十八缺  崩大碗 马蹄草 雷公根 蚶壳草 铜钱草 老虎草 落得打
半拉子 　　 见风干 半柱子 千金鹅耳枥半拉子
米仔兰 　　 米兰 树兰 鱼仔兰
四里麻 　　 钩距虾脊兰 纤花根节兰 细花根节兰
浙地黄 　　天目地黄 紫花地黄 鲜生地 蜜糖罐 野鲜地黄 天芥菜 秦氏地黄
三白酒 　　杜搭酒
小草寇 　　直穗山姜 为姜
东方甲乙丹 　　青龙丹
沙枣 　　 七里香 香柳 刺柳 桂香柳 银柳 银柳胡颓子 牙格达 红豆 则给毛道 给结格代
苦蒿 　　 白蒿
沙枣 　　 七里香 香柳 刺柳 桂香柳 银柳 银柳胡颓子 牙格达 沙枣红豆 则给毛道 给结格代
茸草 　　 菱登草 为玄参科植物钟萼草的叶
云芝 　　 杂色云芝 彩绒革盖菌 杂色云芝 黄云芝 灰芝 瓦菌 彩云革盖菌 多色牛肝菌 红见手 千层蘑 彩纹云芝
阿胶芍药汤 　　 四神散
红花 　　 红蓝花  刺红花
下痰丸 　　 下痰丸
大麻子汤 　　 大麻子汤
红花 　　多红花
石耳 　　石木耳 岩菇 脐衣 石壁花
瑞连草 　　 白菊花 土柴胡 九龙箭 钻形紫菀
黄楝树 　　楷木 楷树 黄楝树 药树 药木
桔梗 　　包袱花 铃铛花 僧帽花
活血丹 　　金钱艾 也蹄草 透骨消 透骨风 过墙风 甾骨风 蛮子草 胡薄荷 穿墙草 团经药 风草 肺风草 金钱薄荷 十八缺 江苏金钱草 一串钱 四方雷公根 马蹄筋骨草 破铜钱 对叶金钱草 疳取草 钻地风 接骨消
海菜 　　 龙爪菜 水白菜 海花菜 海茄子 水青菜 水莴苣
槐角 　　 槐实 槐子 槐豆 天豆 槐连豆槐米 槐角
西清汤 　　 西清汤
铁树 　　巴西铁树 巴西千年木 金边香龙血树
迎春花 　　迎春 黄素馨 金腰带
刚毛香茶菜 　　 野把子
小石藓 　　 垣衣
罗勒子 　　兰香子  海上名方   光明子  饮片新参
蒙古马兰 　　 北方马兰 羽叶马兰 刘寄奴
莲蓬草 　　 橐吾 独脚莲  质问本草   荷叶术 荷叶三七 岩红 独足莲 铁铜盘
六物解肌汤 　　 六物解肌汤
奶浆木 　　 牛舌子树 小木通 一母三样 一种三苗
白薯莨 　　 榜薯 野葛薯 大力王 山仆薯 板薯 脚板薯
山道年蒿 　　 驱蛔蒿
青露散 　　 青露散
八味回阳饮 　　回阳饮
白头翁茎叶 　　 白头翁草
如玉散 　　红玉散
大豆饮 　　 大豆酒 豆淋酒
西洋参 　　花旗参 洋参 西洋人参
铁线莲 　　铁线牡丹 番莲 金包银 山木通 番莲 威灵仙
骆驼毛 　　驼绒
黄麻叶 　　 苦麻叶 络麻
鸡麻 　　双珠母
檀香油 　　 白檀油
白花坚荚树 　　坚荚树
千年耗子屎种子 　　 千年老鼠屎 金耗子屎 夏无踪 散血球 天葵子
单肾草 　　裂瓣玉凤花 鸡肾草 扇叶舌喙兰 独叶一支花 无柄一叶兰 雨流星草 鸡肾参 一面锣 为双子叶药兰科植物 根可
麻黄 　　 草麻黄 华麻黄
豨莶 　　豨莶草 狗膏 猪膏草
枪刀药 　　 红丝绒
粗茎罗锅底 　　 锣锅底 蛇莲 曲莲
接气草 　　 接气草
波罗蜜核中仁 　　 木波罗果仁
牛郎串 　　小串
小狗脊 　　为冷蕨萁 复叶耳蕨
大黄龙丸 　　 黄龙丸 清暑丸
不卧散 　　 神仙不卧散
木天蓼 　　 天蓼 藤天蓼 天蓼木
白芷汤 　　白芷石膏三物汤 白芷石膏汤
小飞蓬 　　小蓬草 加拿大蓬 小白酒草 祁州一枝蒿
大瓢李末药 　　 大瓢李末药
新疆卫矛 　　鬼箭羽 卫矛
乌头槟榔汤 　　乌头汤
泥炭藓 　　大泥炭藓 水藓 水苔 地毛衣
蔓胡颓子 　　 抱君子 藤胡颓子
乌头桂枝汤 　　抵当乌头桂枝汤 桂枝汤加乌头汤 乌头汤 桂枝乌头汤 大乌头桂枝汤
乌头桂枝汤 　　抵当乌头桂枝汤 桂枝汤加乌头汤 乌头汤 桂枝乌头汤 大乌头桂枝汤
大决明散 　　 大决明散
肉穗草 　　 小肉穗草
马钱子 　　 番木鳖 苦实把豆儿 火失刻把都 苦实 马前 牛眼 大方八 马钱树
马钱子 　　 番木鳖 苦实把豆儿 火失刻把都 苦实 马前 牛眼 大方八 马钱树
南蛇藤 　　过山枫 挂廓鞭 过山龙 大南蛇 老龙皮 穿山龙 老牛筋 黄果藤
小蒜汁 　　 小蒜汁
三角咪 　　山板凳
蛇接骨 　　回筋口干 树三七 石三七
广州山柑 　　 广州槌果藤
乔木紫珠 　　紫珠 大树紫珠 白叶子树
八毒赤丸 　　李子豫赤丸 八毒丸 杀鬼杖 斩鬼丹 杀鬼杖子
蓬莱葛 　　 多花蓬莱葛 清香藤 落地烘 黄河江
久嗽丸子 　　 久嗽丸子
三白草 　　白面姑 白舌骨 塘边藕三白草
大莲心散 　　 大莲心散
枇杷 　　 芦橘 金丸 芦枝
防风当归散 　　 防风当归散
地下明珠 　　 落地珍珠 铁秤锤 土地子 一粒金丹 陈伤子 铁钮子 山砒霜 泥里珠 寸金黄 一滴金丹 地下珍珠 内宝珠 茅膏菜根
虫莲 　　线叶地榆 海参 地海参
牛肝菌 　　大脚菇 白牛头 黄乔巴 炒菌 大腿蘑 白木碗 麻栎香
肾温汤 　　 肾温汤
虎骨浸酒 　　 虎骨浸酒
大唇香科科 　　山苏麻 野薄荷
变色红菇 　　 全缘红菇
草灵芝 　　 岩须 长梗岩须 雪灵芝 水麻黄草灵芝
北沙参 　　莱阳参 海沙参 银沙参 辽沙参 苏条参 条参 北条参
阴香皮 　　 广东桂皮
野芝麻 　　 白花益母草 土天子 山麦胡 野藿香 山芝麻 山苏子
大附丸 　　 大附丸
白前 　　 芫花叶白前 石蓝 嗽药 水竹消 溪瓢羹 消结草
鸡桑根 　　小叶桑根
紫花地丁 　　野堇菜 光瓣堇菜等
紫花地丁 　　 铧头草 光瓣堇菜 堇堇菜 箭头草 地丁 羊角子 独行虎 地丁草 宝剑草
薤白 　　小根蒜 山蒜 苦蒜 小么蒜 小根菜 小根菜 大脑瓜儿 野蒜 野葱 野蕌
碎密花 　　 杂密花 细棉花 各落尾 细花火把花
助桂汤 　　 助桂汤
平地木 　　较多
樟树皮 　　 木樟 乌樟 芳樟树 番樟 香蕊 樟木子
皱叶南蛇藤 　　南蛇藤 卫矛科 南蛇藤属
黄葵 　　 山油麻 野油麻 野棉花 芙蓉麻 鸟笼胶 假三稔 山芙蓉 香秋葵
八仙迎生饮 　　和气养血汤
黄葵 　　 麝香秋葵 山油麻 假棉桃 假三棯 水芙蓉 假芙蓉
蟛蜞菊 　　 黄花蟛蜞草 黄花墨菜 黄花龙舌草 田黄菊 卤地菊
肾浊秘精丸 　　 肾浊秘精丸
草牡丹 　　牡丹藤 川赤芍
小天南星丸 　　 小天南星丸
白僵蚕膏 　　 白僵蚕膏
麦门冬膏 　　 麦门冬膏
小叶杨 　　南京白杨 河南杨 明杨 青杨
大叶苣荬菜 　　白花大蓟 苦荬 圆再苦苣菜 败酱草
蒲公英 　　黄花地丁 婆婆丁 华花郎
扇子七 　　扇子还阳 阴阳扇 双扇兰 大对月草 菊花双叶草 一把伞 连子七 老虎七 半边莲 肾叶兰 老虎兰 半边扇 对叶扇 铁骨伞 荷叶七 扇子草 半边伞 二郎伞
山藿香 　　血见愁 血芙蓉
土马鬃汤 　　 土马鬃汤
白膏子 　　 白膏子
蒙古扁桃 　　山樱桃 土豆子
水禾麻 　　山麻 大水麻 水苏麻
狭叶香茶菜 　　 活克二号
西瓜皮 　　西瓜翠
水苋菜 　　 细叶水苋 浆果水苋
西瓜皮 　　西瓜翠衣
盐酸树 　　盐霜柏 盐树 盐霜树 盐布根 野漆树 女木 五倍子树 枯盐箕 埔盐 山盐菁 山埔盐
麻叶 　　称为苦麻叶 老麻叶 麻叶 麻仔叶 嫩叶心名麻秧
瞿麦 　　 高山瞿麦
野苜蓿 　　黄花苜蓿
瞿麦 　　 高山瞿麦
蝶兰 　　小接筋藤 金环草 缩筋草 分筋草
问荆 　　接续草 公母草 搂接草 空心草 马蜂草 猪鬃草 黄蚂草 节节草 接骨草
蛇附子 　　三叶青 土儿
黄大豆 　　黄豆
珍珠母 　　 珍珠母丸 珍珠丹
昆明山海棠 　　火把花 断肠草 紫金皮 紫金藤 雷公藤 掉毛草 胖关藤 红毛山藤
华南舌蕨 　　舌蕨 凤尾蕨
白术 　　桴蓟 于术 冬白术 淅术 杨桴 吴术 片术 苍术
毛叶西香罗勒 　　 毛丁香罗勒 丁香草 真草 青香罗勒
柳枝 　　 杨柳条  柳条  垂柳 小杨  杨柳  青丝柳  线柳 吊柳
秀丽野海棠 　　 大叶活血 活血丹
地磨薯 　　 野芝麻棵 小黑药 野芝麻根
大金银花 　　 破骨风 鸡骨头
腐婢 　　 土常山 臭娘子 臭常山 凉粉叶 铁箍散 六月冻 臭黄荆 观音柴 虱麻柴 臭茶 小青树 糯米糊 捏担糊 墨子稔 豆腐木
紫青藤 　　 青藤 画眉杠 铁骨散 常青藤 山黄芪 小叶青 画眉跳杠 铁包金 大叶铁包金
丁香平胃丸 　　 丁香平胃丸
跌打老 　　过山风 五指青 铁打王 大五托 川掌莲 五叉虎 牛拉力
野山茶 　　有山茶花 茶花 红山茶花 四棱标
通光散 　　 奶浆藤 乌骨藤 黄木香 下奶藤 大苦藤 地甘草 扁藤 癞藤子 白暗消 通关散 野泡通
小决明散 　　 小决明散
麻鱼肉 　　麻鱼 麻花鱼 重唇花鱼
白药子散 　　白药脂 盘花地不容 山乌龟 金线吊乌龟
筋骨草 　　 白毛夏枯草 散血草 破血丹
太乙紫金锭 　　 玉枢丹
蟹 　　篾蟹 溪蟹  淡水和咸淡水产蟹
金丝草 　　落苏 黄毛草 毛毛草 笔仔草 猫仔草 墙头竹
布狗尾 　　 土狗尾 长穗狸尾草 兔狗尾 猫公树 防虫草 猫上树 狐狸尾
猴枣 　　 猴子枣 羊肠枣 猴丹 申枣
鹿角草 　　小号一包针 落地柏
箬叶 　　大叶万年青 竹叶盘 九龙盘 竹节伸筋
箬叶 　　洒金蜘蛛抱蛋 斑叶蜘蛛抱蛋 星点蜘蛛抱蛋
扶危散 　　为铜芸 回云 回草 百枝 百种 屏风 风肉 归膀胱
扶危散 　　有黄食石 熏黄 黄金石 石黄 天阳石 黄石 鸡冠石
光叶巴豆 　　 龙眼叶 养奶浆叶 大树叶
肾经草 　　 玉峰花 睫毛兰 土天麻 银兰 鸡肾草 鸡儿草 双肾草 地夫子 野阳合 玉峰兰
短叶蹄盖蕨 　　 东北蹄盖蕨
柳叶菜 　　水丁香 通经草 水兰花 菜子灵
多花猕猴桃茎叶 　　 红蒂砣可
金鱼藻 　　细草 软草 鱼草
八痞丸 　　拓痞丸
马蔺子丸 　　 马蔺子丸
八仙膏 　　八汁汤
红药 　　 岗唇柱苣苔
红药 　　山芍药 野芍药
红药 　　将离 离草 婪尾春 余容 犁食 没骨花 黑牵夷 红药
雪猪骨 　　大旱癞 土拨鼠
桑叶 　　 家桑 荆桑 桑椹树 黄桑 霜叶霜 桑叶蜜 桑叶 冬桑叶 铁扇子 家桑叶 枯桑叶 荆桑叶 桑椹树叶 桑树叶 黄桑叶 霜桑叶 冬桑叶 白桑叶 鸡桑叶 子桑叶 山桑叶 金桑叶 晚桑叶 老桑叶 双叶 双桑叶 童桑叶 神仙叶
肾风苁蓉丸 　　 肾风苁蓉丸
大通散 　　 大通散
母猪草 　　 山黄连
中结丸 　　 中结丸
撑篙竹 　　稿竹 泥竹 虾须竹 油竹
银边翠 　　 高山积雪 象牙白
柏脂 　　柏油
土贝母 　　 土贝 大贝母  地苦胆 草贝
干葛饮 　　 干葛饮
佛手柑 　　 佛手柑 手柑
降香 　　 海南黄檀 海南黄花梨 花榈 香枝木 降压木
小芎辛汤 　　 小芎辛汤
肿节风 　　 接骨金粟兰 九节茶 九节花 九节风 竹节茶 接骨莲 观音茶 接骨木 九节风 驳节茶 鸭脚节 山牛膝 珍珠兰 九节草 野靛 学士茶 接骨丹 接骨草 铜脚灵仙 九节兰 节骨茶 接骨莲 竹茶
大麻仁散 　　 大麻仁散
卫君汤 　　 卫君汤
丁香温气汤 　　 丁香温气汤
奶浆参 　　万丈深 马尾参
戒烟丸 　　 五色戒烟丸
莎草 　　 香附子 草地罩草 草附子 地沟草 地赖根 地了草 地蒲草 地三草 吊马棕 姑娘草 旱三棱 回头青 九篷根 酒药芸香草 雷公头 雷公头草 棱草根 钮子七 雀头香 三棱草 三棱草根 三棱子草 三楞草 三楞草根 三稜草 三轮草 莎草 莎草根 山芽草 缩缩草 田头青 铁疙瘩草 土香草 香附 香附草 香附米 香疙瘩 香胡子 香头草 香叶 小三棱 续根草 哑妞姆 野韭菜 野菊头 芋仔草 张罗草 猪毛青 草头香 地藾根 地毛 夫须 侯莎 厚香草头 厚香头 回头茎 雷公草子 木强币 沙草 沙草根 莎草香附子 莎结 水巴戟 水莎 水香棱 水香稜 梭子草 土香 土香头 猪荸荠 猪鬃草 nutgrass
地羊鹊 　　阳雀花 地阳雀
雪乌 　　草乌 藏名为翁阿鲁 翁格尔
白淋草 　　 接骨风
湖广草 　　佛光草 小灯台 荔枝肾
苍耳子 　　 虱马头 苍耳子 老苍子 道人头 刺八裸 苍浪子 绵苍浪子 羌子裸子 青棘子 抢子 痴头婆 胡苍子 野茄 猪耳 菜耳 苍苍子
广东万年青 　　粗肋草 亮丝草 粤万年青
巴豆白膏 　　巴豆桃仁丸
大元门顶 　　 紫金丹
豆角柴 　　西南秔子梢
朱砂 　　丹砂
白透骨消 　　 长管活血丹
三石泽兰丸 　　 三石泽兰丸
酸模叶 　　旱苗蓼 大马蓼 柳叶蓉
透骨香 　　 透骨草 满山香 搜山虎 煤炭子 煤炭果 万里香 九里香 芳香草 满天香 透骨消 小透骨草 九木香 鸡骨香
红水芋 　　 石芋头 独角芋 红芋头 红半夏 五彩芋
鳞片水麻 　　  大血吉 野苎麻 山苎麻 山草麻 山野麻
瓦韦 　　剑丹 七星草 骨牌草 小叶骨牌草 七星剑 小舌头草 细骨牌草 大金刀 千只眼 泡泡草 小肺筋
橙黄玉凤花 　　 红唇玉凤花
芸薹 　　油菜 芸苔 寒菜 胡菜 苔芥 青菜 胡菜 薹菜
大白药 　　 小白药 蛆藤 大对节生 大掰角牛
内补汤 　　葽绕 蕀蒬 棘菀 细草 小鸡腿 小鸡眼 小草根
内补汤 　　天听
白千层油 　　白千层精油
鸡屎矾丸 　　 鸡屎矾丸
芙蓉叶 　　地芙蓉 芙蓉 山芙蓉 胡李花 三变花 木棉
穗花蛇菰 　　 寄生黄 山菠萝 蛇菰 石上莲 穗花蛇菰 通天蜡烛
一枝箭 　　 龙爪花 红花石蒜 山乌毒俗称 蟑螂花 老鸦蒜雅名 曼珠沙华
狗肾 　　 黄狗肾 广狗肾 狗鞭 狗宝
乌须明目丸 　　 乌须明目丸
细芦子藤 　　为钮子跌打 芦子 球穗胡椒 九节风 芦子藤
东方狗脊 　　大叶狗脊 镰叶狗脊
葶苈子 　　 丁历 大适 大室
石灰膏 　　 熟石灰
榕须 　　半天吊
白芥丸 　　 消枳丸 连罗丸
鸭脚茶 　　雨伞子
小珍珠丸 　　 小珍珠丸
圆叶锦葵根 　　 苏黄耆 油油饼 土黄芪 献干粮 狗干粮 白黄芪 白马棵 土芳苗 金钱根
苍己散 　　 湿热散
猬菊 　　 大蓟
小刺蓟煎 　　 小刺蓟煎
软朱砂法 　　 软朱砂延寿水仙丹
赤小豆 　　 赤豆 红饭豆 饭豆 蛋白豆 赤山豆
荚囊蕨 　　 罗曼蕨 象牙乌毛蕨 天长乌毛蕨 锯草 梳子草 铁角箕 天鹅抱蛋
天乌散 　　 天乌散
西施舌 　　车蛤 土匙 沙蛤
千解草 　　小常山
白补药 　　翻天雷公 地梗鼠尾
水苎麻 　　 水麻 八棱麻 大接骨 大糯叶
凤眼草 　　椿荚 樗荚 凤眼子 樗树凸凸 樗树子 臭椿子 春铃子
蕤仁 　　蕤核 蕤子 白桵仁 棫仁 美仁子 单花扁核木 蕤李子 山桃 小马茹子 蕤核仁
七鳃鳗 　　 八目鳗 太平洋七鳃鳗 北极七鳃鳗 七星鳗
繁缕 　　 鹅肠菜 鹅耳伸筋 鸡儿肠
绿豆 　　青小豆 因其
昆明水金凤 　　水金凤 黄凤仙 凤仙花 湿凤仙
粗皮松萝 　　 天蓬草 云雾草 树发七
芦笋 　　龙须菜
大前胡汤 　　 大前胡汤
苦连翘 　　 金丝蝴蝶 小狗木 狗胡花 金丝莲
角果木 　　  剪子树 海枷子 海淀子
鸭脚罗伞 　　 空壳桐 勒鸭脚 刺鸭脚木 七加皮 掌叶木
黄寿丹 　　老来青 还少丹 野瓮菜
苦地丁 　　 地丁 地丁草 紫花地丁 扁豆秧 小鸡菜
枸橘 　　枳实 铁篱寨 臭橘 枸橘李 枸橘 臭杞 橘红 沉蛋
毛蕊花 　　 牛耳草
钻天杨 　　美杨 美国白杨
铜锤草 　　 大酸味草 南天七
小儿回春丹 　　五粒回春丹
下冈哇 　　展毛翠雀花
苦苣 　　 野苣 褊苣 嘉佑本草 兔仔菜
乌鱼蛋 　　针乌贼 金乌贼
狗枣猕猴桃 　　 狗枣子 深山木天
乌巴丸 　　 乌巴丸
四方麻 　　鱼尾草 醉鱼儿草 醉鱼草
白带草 　　雀儿菜 野养菜 米花香荠菜
猪毛菜 　　 扎蓬棵 刺蓬 三叉明棵 猪毛缨 叉明棵 猴子毛 蓬子菜 乍蓬棵子 蓬豆芽 轱辘娃子
山羊血 　　拉日哈
青琅玕 　　 卤股石 绿青 青珠 黄环
鹧鸪菜 　　美舌藻 蛔虫菜
鹧鸪菜 　　 美舌藻 岩衣 乌菜 劈头菜
大戟 　　 下马仙
黑老虎 　　 冷饭团  臭饭团 酒饭团 过山龙藤 大钻 万丈红 透地连珠 紫根藤 外红消 红过山 钻骨风 大叶南五味
龙眼叶 　　桂圆 益智 羊眼
爬山豆根 　　大发表 野蚕虫根 见水消 三楞金刚 松漏争
风箱树叶 　　风箱树 水杨梅 珠花树 鸡仔木 马烟木 水抱木 大叶水杨梅 假番桃
合树菌 　　稀针孔菌 薄皮毛背菌
胡子七 　　 黑毛七 小山桃儿七 九百棒 九龙丹 鸳鸯七 猪毛七 红毛七
赤瓟 　　气包
凤凰衣 　　包括鸡卵中白皮 鸡子白皮 凤凰退 鸡蛋膜衣 鸡蛋衣
金丝刷 　　金刷把
乌毛蕨贯众 　　青蕨倪 大英雄 大蕨锯草
乌毛蕨贯众 　　 青蕨倪 大英雄 大蕨锯草 铁蕨 黑蕨猫 铁蕨黑蕨猫 黑狗脊 龙船蕨 大凤尾草 贯众
犁头草 　　心叶堇菜 玉如意 紫花地丁
六星散 　　 六星丹
络石藤 　　石鲮 明石 悬石 云珠 云丹 红对叶肾 白花藤
鲤鱼 　　鲤拐子 鲤子
马前散 　　 马前散
篦齿蒿 　　 恶臭蒿 粘蒿 籽蒿
五色梅 　　五色梅 五彩花
伴蛇莲 　　 拳参 鸡爪大王 马蜂七
鱼草 　　 水松 华盛顿草
兔耳风 　　反背红 红筋草
大半边旗 　　 疏羽半边旗
屈头鸡 　　水三七 土三七 水鸡头
蜘蛛抱蛋 　　 箬叶 一叶兰
猪毛参 　　猪鬃草 小猪鬃草
槲寄生 　　 北寄生 桑寄生 柳寄生 黄寄生 冻青 寄生子
干岩矸 　　岩黄连 毛黄堇 毛黄连 遍山白
洋地黄 　　毛地黄 毒药草 紫花毛地黄 吊钟花
皂刺散 　　 皂刺散
石韦 　　 石樜  石皮  石苇  金星草 石兰  生扯拢
痰火草 　　围夹草 癌草 青竹壳菜 青鸭跖草
朝鲜一枝黄花 　　朝鲜一枝蒿 一枝黄花
当归生姜羊肉汤 　　小羊肉汤 当归汤
白鲜皮 　　 白藓皮 八股牛 山牡丹 羊鲜草
翠云草 　　 龙须 蓝草 剑柏 蓝地柏 地柏叶 伸脚草 绿绒草 烂皮蛇
延胡散 　　 延胡散
合萌 　　田皂角 水松柏 水槐子 水通草
乌椒汤 　　 乌椒汤
白冷草 　　痨伤药 冷水七 冷水丹 红冷草
空心苋 　　 空心苋 水蕹菜 革命草 水花生
一擦无踪 　　 一擦无踪
叶底红 　　 叶下红 江南野海棠 大毛蛇 血还魂 还魂红 沙崩草 假紫苏 野海棠
大菖蒲散 　　 大菖蒲散
小花八角枫 　　 西南八角枫
败酱草散 　　 败酱草散
泡囊草 　　 大头狼毒 汤乌普
白毛蛇 　　草石蚕 石蚕 石奇蛇
小黑龙丸 　　 小黑龙丸
马醉木 　　 梫木 兴山马醉木 红蜡烛 闹狗花 泡泡花 珍珠花  桂花岩陀 美丽南烛 炮仗花 细梅树
早禾树 　　珊瑚树
青羊参 　　 白石参 毒狗药 青阳参 地藕 小白蔹 小绿羊角藤 断节参 白药 白芪 青洋参 闹狗药 牛尾参 牛尾七
鸡眼膏 　　南沙参 泡参 泡沙参
金丝木通 　　 山棉花 风藤草
石榴花 　　安石榴 金罂 金庞 涂林 天浆 珠实 若榴 丹若 山力叶
