大细辛 　　马蹄细辛 苕叶细辛
紫背金盘草 　　 九味草 散瘀草 散血丹 退血草 散血
半蒴苣苔 　　 山白菜 天目降龙草 石花菜 尿桶草 石花 牛蹄草 牛舌头 白观音扇 石塔青 降龙草 石杓麦 乌梗子 岩茄子 岩苋菜 牛耳朵菜 蚂拐菜 大蚂拐菜 麻脚杆 岩莴苣
丝棉木 　　 白皂树 明开夜合 桃叶卫矛 白杜 鸡血兰 白桃树 野杜仲 白樟树 南仲根
瓜子金 　　 辰砂草 金锁匙 瓜子草 挂米草 高脚瓜子草 产后草
玳玳花 　　回青橙 枳壳花 酸橙花
白头翁 　　有奈何草 粉乳草 白头草 老姑草
蘘荷花 　　 山麻雀
倒挂草 　　 牛舌大黄 牛舌头 鱼鳞菜  倒钩草 倒梗草 破布粘 白基牛膝 鸡骨草
八仙草 　　 猪殃殃
大金牙散 　　 大金牙散
水蓼 　　为水蓼 辣蓼 蔷 虞蓼 蔷蓼 蔷虞 泽蓼 辛菜 蓼芽菜
血散薯 　　 金不换 一滴血 山乌龟 独脚乌桕
光头稗子 　　穆草 芒稷
胭脂木 　　红木
蛇床子 　　野胡萝卜子
胡桃仁 　　 虾蟆 胡桃穰 胡桃肉 核桃仁
抱树莲 　　抱石莲 瓜子菜 飞莲草
腹水草 　　 两头爬 两头粘 两头镇 仙桥草 钓鱼竿 钓竿藤 爬岩红 两头生根
灯笼果 　　灯笼果
土细辛 　　马辛 马细辛 马蹄细辛 马蹄香 水马蹄
天南星 　　南星 白南星
石莲 　　宝石花
小前胡汤 　　 土当归 野当归 独活
宽尾石韦 　　毛石韦 小石韦 舌鹅草
梅花 　　 春梅 干枝梅 酸梅 乌梅
百蕊草 　　百乳草 小草 细须草 青龙草
红铅散 　　 香矾散 红矾散
三角叶风毛菊 　　 白牛蒡根 猪蹄叉 白紫菀 毛叶威灵仙 大叶防风 翻白叶
莲生桂子花 　　 芳草花 金凤花 羊角丽 黄花仔 唐绵 山桃花 野鹤嘴 水羊角 金盏银台 土常山 竹林标 见肿消 野辣子 辣子七 对叶莲 老鸦嘴 红花矮陀陀 草木棉
全趾饮 　　 全趾饮
九节菖蒲 　　 小菖蒲 外菖蒲 节菖蒲 鸡爪莲 九节离 穿骨七
羊角拗 　　 阳角右藤 牛角橹 断肠草 羊角藤 大羊角扭蔃
鲳鱼 　　镜鱼 鮀鱼 昌侯龟 昌鼠  狗瞌睡鱼  鲳鳊  镜鱼 平鱼  白昌  叉片鱼
鲳鱼 　　淡水白鲳
鼬瓣花 　　野芝麻 野苏子
铁锈 　　三氧化二铁 烧褐铁矿 烧赭土 铁丹 铁红 红粉 威尼斯红
华南鳞盖蕨 　　凤尾千金草 青蕨
垂丝卫矛 　　 球果卫矛 五棱子  青皮树  小米饭 暖木
越瓜 　　生瓜 梢瓜 脆瓜
火索麻 　　 扭蒴山芝麻
火索麻 　　 买买刘才 野芝麻 麻纽塞 扭索麻
八生饮子 　　八生散
红骨参 　　 紫参  毛丹参
四顺散 　　甜草根 红甘草 粉甘草 美草 密甘 密草 国老 粉草 甜草 甜根子 棒草
五龙汤 　　 五龙汤
蛴螬 　　白土蚕 核桃虫
下果藤 　　 亚泵礴
白云瓜 　　山萝卜 地樱桃
南方露珠草 　　 细毛谷蓼
白皮 　　牛千斤
夏枯草 　　 麦穗夏枯草 铁线夏枯草 麦夏枯 铁线夏枯
祖师麻 　　为祖师麻 黄瑞香 大救驾 金腰带 黄狗皮
马蛋果 　　 野沙梨 阿比坦
金剪刀 　　河边威灵仙
兔毛蒿 　　线叶菊 西伯利亚艾菊 兔子毛 疔毒花 惊草 荆草
辣子草 　　 兔儿草 铜锤草
五补麦门冬汤 　　 五补麦门冬汤
盘肠草 　　南瓜阴芽
仙枣 　　海枣 棕榈科
八白散 　　八白饮
白玉锭 　　 白玉锭
肾附子丸 　　 肾附子丸
红豆 　　相思树 相思豆 种子全红 红豆树 豆科
列当 　　木通马兜铃 马木通 草苁蓉 独根草 兔子拐棒 山苞米
菜豆树 　　 山菜豆 苦苓舅 豇豆树 辣椒树 接骨凉伞 森木凉伞 朝阳花 牛尾木 豆角木 牛尾豆 蛇仔豆 鸡豆木 大朝阳 跌死猫树
地莓子 　　黄帽子 黄刺儿根
拔疔方 　　拔疔除根方 拔疔饼子
打伤八味散 　　 打伤八味散
毒鱼藤 　　白药根 雷公藤蹄
龙眼壳 　　 圆眼壳
红木香 　　 长梗南五味子 紫金皮 金谷香 紧骨香 木腊 内风消 土木香
蛾药 　　火草
山牵牛 　　 大花老鸭嘴 大邓伯花种
八正顺气散 　　八正顺气汤
龙须藤 　　羊蹄藤 乌郎藤 过岗圆龙等
刺梨 　　刺菠萝 送春归 刺酸梨子 九头鸟 文先果
胃友 　　清香桂
大叶香荠菜 　　 大叶香荠 大叶香荠菜 独行菜 拉拉根 辣菜 辣辣根 琴叶独行菜 十字花 小白浆 星星菜 野独行菜
刀豆 　　刀豆子 大刀豆
刀豆 　　大刀豆 刀鞘豆
刀豆 　　洋刀豆
百味参 　　 百味参 光叶肺筋草 虎须草
门冬膏 　　 门冬膏
羌活鱼 　　 杉木鱼 雪血
麻布七 　　 麻布七
大犀角汤 　　 大犀角汤
乌药沉香汤 　　 乌药沉香汤
川楝子丸 　　 川楝子丸
铜锤玉带草 　　 地钮子 地茄子
铜锤玉带草 　　 地茄子草 翳子草 地浮萍 扣子草 马莲草 铜锤草 红头带 土油甘 白路桥 三脚丁
苎麻根 　　苎根 苎麻头 纻 川绵葱 银苎 天名精 园麻 线麻 山麻
松节 　　 黄松木节 油松节 松郎头
松节 　　 黄松木节 油松节 松郎头
鸡冠花 　　 鸡髻花 老来红 芦花鸡冠 笔鸡冠 小头鸡冠 凤尾鸡冠 大鸡公花 鸡角根 红鸡冠
小箸头散 　　 小箸头散
槐根 　　 野槐根 山槐根 干人参 苦骨
小牛黄丸 　　 牛黄丸
玉华白丹 　　 震灵丹
